TITLE,sample 2
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,25/11/14
TIME,15:19:07
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-0.1
XUNITS,NANOMETERS
YUNITS,TRANSMITTANCE
FIRSTX, 1400.0000
LASTX,  300.0000
NPOINTS,   11001
FIRSTY,     0.01558
MAXY,   123.49834
MINY,    -0.02685
XYDATA
1316.7000,15.932
1316.6000,15.9771
1316.5000,16.0187
1316.4000,16.069
1316.3000,16.1137
1316.2000,16.1545
1316.1000,16.201
1316.0000,16.2486
1315.9000,16.2915
1315.8000,16.3426
1315.7000,16.3909
1315.6000,16.4358
1315.5000,16.482
1315.4000,16.5248
1315.3000,16.5763
1315.2000,16.6202
1315.1000,16.6611
1315.0000,16.7063
1314.9000,16.7562
1314.8000,16.8055
1314.7000,16.858
1314.6000,16.908
1314.5000,16.9547
1314.4000,16.9998
1314.3000,17.0444
1314.2000,17.0918
1314.1000,17.1374
1314.0000,17.1818
1313.9000,17.2256
1313.8000,17.2769
1313.7000,17.3227
1313.6000,17.3685
1313.5000,17.4156
1313.4000,17.4565
1313.3000,17.5045
1313.2000,17.5432
1313.1000,17.5905
1313.0000,17.6331
1312.9000,17.6761
1312.8000,17.7223
1312.7000,17.7665
1312.6000,17.8063
1312.5000,17.8491
1312.4000,17.892
1312.3000,17.9392
1312.2000,17.9837
1312.1000,18.0264
1312.0000,18.0763
1311.9000,18.1205
1311.8000,18.1622
1311.7000,18.2067
1311.6000,18.252
1311.5000,18.294
1311.4000,18.3383
1311.3000,18.3849
1311.2000,18.4327
1311.1000,18.4737
1311.0000,18.5233
1310.9000,18.5632
1310.8000,18.608
1310.7000,18.6517
1310.6000,18.6896
1310.5000,18.738
1310.4000,18.7774
1310.3000,18.816
1310.2000,18.8641
1310.1000,18.9035
1310.0000,18.9478
1309.9000,18.9916
1309.8000,19.0376
1309.7000,19.0805
1309.6000,19.1204
1309.5000,19.1626
1309.4000,19.2096
1309.3000,19.2531
1309.2000,19.3012
1309.1000,19.3411
1309.0000,19.3872
1308.9000,19.4266
1308.8000,19.463
1308.7000,19.5108
1308.6000,19.5543
1308.5000,19.5957
1308.4000,19.6364
1308.3000,19.6759
1308.2000,19.7198
1308.1000,19.7573
1308.0000,19.7978
1307.9000,19.8412
1307.8000,19.8744
1307.7000,19.9175
1307.6000,19.9591
1307.5000,19.9992
1307.4000,20.04
1307.3000,20.0786
1307.2000,20.1171
1307.1000,20.1606
