TITLE,sample3a
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,25/11/14
TIME,11:03:04
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-0.1
XUNITS,NANOMETERS
YUNITS,TRANSMITTANCE
FIRSTX, 1400.0000
LASTX,  300.0000
NPOINTS,   11001
FIRSTY,     0.03998
MAXY,   125.24290
MINY,    -0.01736
XYDATA
1356.9000,4.29802
1356.8000,4.31647
1356.7000,4.33028
1356.6000,4.34414
1356.5000,4.36174
1356.4000,4.37389
1356.3000,4.38492
1356.2000,4.40269
1356.1000,4.42339
1356.0000,4.44503
1355.9000,4.46163
1355.8000,4.47799
1355.7000,4.49078
1355.6000,4.50882
1355.5000,4.53271
1355.4000,4.55281
1355.3000,4.56941
1355.2000,4.58869
1355.1000,4.61327
1355.0000,4.6368
1354.9000,4.65635
1354.8000,4.67596
1354.7000,4.69731
1354.6000,4.71475
1354.5000,4.72623
1354.4000,4.74644
1354.3000,4.77642
1354.2000,4.79317
1354.1000,4.81398
1354.0000,4.83597
1353.9000,4.85137
1353.8000,4.87271
1353.7000,4.89582
1353.6000,4.91133
1353.5000,4.92932
1353.4000,4.94809
1353.3000,4.96834
1353.2000,4.99515
1353.1000,5.02174
1353.0000,5.03601
1352.9000,5.05942
1352.8000,5.07281
1352.7000,5.08995
1352.6000,5.10896
1352.5000,5.13292
1352.4000,5.15659
1352.3000,5.17914
1352.2000,5.19871
1352.1000,5.21985
1352.0000,5.24056
1351.9000,5.25982
1351.8000,5.27842
1351.7000,5.29422
1351.6000,5.31707
1351.5000,5.34081
1351.4000,5.36422
1351.3000,5.39094
1351.2000,5.41603
1351.1000,5.43226
1351.0000,5.45588
1350.9000,5.47605
1350.8000,5.49451
1350.7000,5.51242
1350.6000,5.53534
1350.5000,5.55937
1350.4000,5.58065
1350.3000,5.60404
1350.2000,5.62555
1350.1000,5.65195
1350.0000,5.67605
1349.9000,5.6928
1349.8000,5.71568
1349.7000,5.73896
1349.6000,5.76436
1349.5000,5.79372
1349.4000,5.82027
1349.3000,5.84175
1349.2000,5.86493
1349.1000,5.88483
1349.0000,5.91145
1348.9000,5.94146
1348.8000,5.96493
1348.7000,5.99097
1348.6000,6.01725
1348.5000,6.04429
1348.4000,6.06984
1348.3000,6.09445
1348.2000,6.12048
1348.1000,6.14201
1348.0000,6.17255
1347.9000,6.20248
1347.8000,6.21958
1347.7000,6.2512
1347.6000,6.27895
1347.5000,6.30621
1347.4000,6.33045
1347.3000,6.35531
1347.2000,6.38625
1347.1000,6.4154
1347.0000,6.44113
1346.9000,6.46462
1346.8000,6.48841
1346.7000,6.51502
1346.6000,6.54378
1346.5000,6.57229
1346.4000,6.60128
1346.3000,6.62354
1346.2000,6.65251
1346.1000,6.68339
1346.0000,6.7139
1345.9000,6.73982
1345.8000,6.76618
1345.7000,6.79399
1345.6000,6.82612
1345.5000,6.84812
1345.4000,6.87706
1345.3000,6.91155
1345.2000,6.9467
1345.1000,6.97883
1345.0000,7.00981
1344.9000,7.04107
1344.8000,7.06534
1344.7000,7.09542
1344.6000,7.13655
1344.5000,7.16553
1344.4000,7.19775
1344.3000,7.22533
1344.2000,7.25524
1344.1000,7.28699
1344.0000,7.31684
1343.9000,7.34758
1343.8000,7.38791
1343.7000,7.4226
1343.6000,7.45493
1343.5000,7.49398
1343.4000,7.52808
1343.3000,7.55929
1343.2000,7.59387
1343.1000,7.6346
1343.0000,7.66677
1342.9000,7.70305
1342.8000,7.73564
1342.7000,7.772
1342.6000,7.80438
1342.5000,7.83647
1342.4000,7.87241
1342.3000,7.91289
1342.2000,7.95311
1342.1000,7.98652
1342.0000,8.01698
1341.9000,8.0571
1341.8000,8.09206
1341.7000,8.13666
1341.6000,8.17463
1341.5000,8.20885
1341.4000,8.24469
1341.3000,8.28203
1341.2000,8.31873
1341.1000,8.35788
1341.0000,8.39686
1340.9000,8.4434
1340.8000,8.48306
1340.7000,8.51882
1340.6000,8.55613
1340.5000,8.59778
1340.4000,8.63787
1340.3000,8.67754
1340.2000,8.71721
1340.1000,8.75853
1340.0000,8.8005
1339.9000,8.83875
1339.8000,8.88432
1339.7000,8.92365
1339.6000,8.96783
1339.5000,9.00974
1339.4000,9.0532
1339.3000,9.09437
1339.2000,9.13521
1339.1000,9.18014
1339.0000,9.21784
1338.9000,9.2613
1338.8000,9.30687
1338.7000,9.34836
1338.6000,9.39129
1338.5000,9.42566
1338.4000,9.47388
1338.3000,9.52359
1338.2000,9.56619
1338.1000,9.61259
1338.0000,9.65903
1337.9000,9.70541
1337.8000,9.74644
1337.7000,9.78376
1337.6000,9.83083
1337.5000,9.87837
1337.4000,9.92385
1337.3000,9.97046
1337.2000,10.0171
1337.1000,10.0606
1337.0000,10.1071
1336.9000,10.153
1336.8000,10.1961
1336.7000,10.245
1336.6000,10.2891
1336.5000,10.3371
1336.4000,10.3821
1336.3000,10.4337
1336.2000,10.4845
1336.1000,10.5357
1336.0000,10.5846
1335.9000,10.6296
1335.8000,10.6834
1335.7000,10.7328
1335.6000,10.7826
1335.5000,10.8251
1335.4000,10.8731
1335.3000,10.926
1335.2000,10.9736
1335.1000,11.0217
1335.0000,11.0759
1334.9000,11.123
1334.8000,11.176
1334.7000,11.2309
1334.6000,11.2845
1334.5000,11.3364
1334.4000,11.3865
1334.3000,11.4381
1334.2000,11.488
1334.1000,11.5379
1334.0000,11.5914
1333.9000,11.6441
1333.8000,11.6969
1333.7000,11.7477
1333.6000,11.8001
