XYDATA,sample11.jws
432.7000,124.479
432.8000,124.492
432.9000,124.499
433.0000,124.511
433.1000,124.517
433.2000,124.521
433.3000,124.523
433.4000,124.525
433.5000,124.525
433.6000,124.527
433.7000,124.528
433.8000,124.527
433.9000,124.533
434.0000,124.546
434.1000,124.55
434.2000,124.55
434.3000,124.56
434.4000,124.566
434.5000,124.573
434.6000,124.579
434.7000,124.586
434.8000,124.602
434.9000,124.614
435.0000,124.625
435.1000,124.627
435.2000,124.636
435.3000,124.646
435.4000,124.653
435.5000,124.664
435.6000,124.664
435.7000,124.673
435.8000,124.687
435.9000,124.686
436.0000,124.686
436.1000,124.687
436.2000,124.688
436.3000,124.689
436.4000,124.693
436.5000,124.706
436.6000,124.713
436.7000,124.716
436.8000,124.723
436.9000,124.721
437.0000,124.726
437.1000,124.733
437.2000,124.737
437.3000,124.739
437.4000,124.738
437.5000,124.739
437.6000,124.743
437.7000,124.748
437.8000,124.744
437.9000,124.747
438.0000,124.75
438.1000,124.752
438.2000,124.763
438.3000,124.766
438.4000,124.767
438.5000,124.769
438.6000,124.776
438.7000,124.778
438.8000,124.789
438.9000,124.794
439.0000,124.791
439.1000,124.791
439.2000,124.797
439.3000,124.805
439.4000,124.811
439.5000,124.821
439.6000,124.824
439.7000,124.823
439.8000,124.828
439.9000,124.836
440.0000,124.839
440.1000,124.852
440.2000,124.86
440.3000,124.859
440.4000,124.858
440.5000,124.868
440.6000,124.876
440.7000,124.881
440.8000,124.883
440.9000,124.894
441.0000,124.907
441.1000,124.914
441.2000,124.915
441.3000,124.92
441.4000,124.919
441.5000,124.928
441.6000,124.936
441.7000,124.94
441.8000,124.944
441.9000,124.95
442.0000,124.947
442.1000,124.951
442.2000,124.963
442.3000,124.973
442.4000,124.977
442.5000,124.986
442.6000,124.991
442.7000,124.99
442.8000,125.001
442.9000,125.004
443.0000,125.005
443.1000,125.003
443.2000,125.009
443.3000,125.006
443.4000,125.006
443.5000,125.005
443.6000,125.016
443.7000,125.018
443.8000,125.024
443.9000,125.033
444.0000,125.04
444.1000,125.037
444.2000,125.037
444.3000,125.043
444.4000,125.047
444.5000,125.052
444.6000,125.051
444.7000,125.055
444.8000,125.056
444.9000,125.059
445.0000,125.06
445.1000,125.06
445.2000,125.06
445.3000,125.064
445.4000,125.064
445.5000,125.062
445.6000,125.059
445.7000,125.061
445.8000,125.063
445.9000,125.068
446.0000,125.071
446.1000,125.076
446.2000,125.079
446.3000,125.083
446.4000,125.089
446.5000,125.093
446.6000,125.099
446.7000,125.102
446.8000,125.104
446.9000,125.106
447.0000,125.109
447.1000,125.108
447.2000,125.112
447.3000,125.117
447.4000,125.119
447.5000,125.121
447.6000,125.117
447.7000,125.118
447.8000,125.121
447.9000,125.122
448.0000,125.125
448.1000,125.13
448.2000,125.131
448.3000,125.135
448.4000,125.146
448.5000,125.149
448.6000,125.152
448.7000,125.165
448.8000,125.17
448.9000,125.165
449.0000,125.168
